iata,name,country,tz
AAA,Anaa Airport,French Polynesia,Pacific/Tahiti
AAC,El Arish International Airport,Egypt,Africa/Cairo
AAE,Rabah Bitat Airport,Algeria,Africa/Algiers
AAF,Apalachicola Regional Airport,United States,America/New_York
AAH,Aachen-Merzbrück Airport,Germany,Europe/Berlin
AAK,Buariki Airport,Kiribati,
AAL,Aalborg Airport,Denmark,Europe/Copenhagen
AAM,Malamala Airport,South Africa,Africa/Johannesburg
AAN,Al Ain International Airport,United Arab Emirates,Asia/Dubai
AAO,Anaco Airport,Venezuela,America/Caracas
AAP,Andrau Airpark,United States,America/Chicago
AAQ,Anapa Vityazevo Airport,Russia,Europe/Moscow
AAR,Aarhus Airport,Denmark,Europe/Copenhagen
AAT,Altay Air Base,China,Asia/Shanghai
AAV,Allah Valley Airport,Philippines,
AAX,Romeu Zema Airport,Brazil,America/Sao_Paulo
AAY,Al Ghaidah International Airport,Yemen,Asia/Aden
AAZ,Quezaltenango Airport,Guatemala,America/Guatemala
ABA,Abakan Airport,Russia,Asia/Krasnoyarsk
ABB,Asaba International Airport,Nigeria,Africa/Lagos
ABC,Albacete-Los Llanos Airport,Spain,Europe/Madrid
ABD,Abadan Airport,Iran,Asia/Tehran
ABE,Lehigh Valley International Airport,United States,America/New_York
ABF,Abaiang Airport,Kiribati,Pacific/Tarawa
ABH,Alpha Airport,Australia,
ABI,Abilene Regional Airport,United States,America/Chicago
ABJ,Port Bouet Airport,Cote d'Ivoire,Africa/Abidjan
ABK,Kabri Dehar Airport,Ethiopia,Africa/Addis_Ababa
ABL,Ambler Airport,United States,America/Anchorage
ABM,Northern Peninsula Airport,Australia,Australia/Brisbane
ABN,Albina Airport,Suriname,America/Paramaribo
ABQ,Albuquerque International Sunport,United States,America/Denver
ABR,Aberdeen Regional Airport,United States,America/Chicago
ABS,Abu Simbel Airport,Egypt,Africa/Cairo
ABT,Al Baha Airport,Saudi Arabia,Asia/Riyadh
ABV,Nnamdi Azikiwe International Airport,Nigeria,Africa/Lagos
ABX,Albury Airport,Australia,Australia/Sydney
ABY,Southwest Georgia Regional Airport,United States,America/New_York
ABZ,Aberdeen Dyce Airport,United Kingdom,Europe/London
ACA,General Juan N Alvarez International Airport,Mexico,America/Mexico_City
ACC,Kotoka International Airport,Ghana,Africa/Accra
ACD,Alcides Fernández Airport,Colombia,America/Bogota
ACE,Lanzarote Airport,Spain,Atlantic/Canary
ACF,Brisbane Archerfield Airport,Australia,Australia/Brisbane
ACH,St Gallen Altenrhein Airport,Switzerland,Europe/Zurich
ACI,Alderney Airport,Guernsey,Europe/Guernsey
ACJ,Anuradhapura Air Force Base,Sri Lanka,Asia/Colombo
ACK,Nantucket Memorial Airport,United States,America/New_York
ACN,Ciudad Acuña New International Airport,Mexico,America/Mexico_City
ACP,Sahand Airport,Iran,Asia/Tehran
ACR,Araracuara Airport,Colombia,America/Bogota
ACS,Achinsk Airport,Russia,
ACT,Waco Regional Airport,United States,America/Chicago
ACV,California Redwood Coast-Humboldt County Airport,United States,America/Los_Angeles
ACX,Xingyi Airport,China,Asia/Shanghai
ACY,Atlantic City International Airport,United States,America/New_York
ACZ,Zabol Airport,Iran,Asia/Tehran
ADA,Adana Airport,Turkey,Europe/Istanbul
ADB,Adnan Menderes International Airport,Turkey,Europe/Istanbul
ADD,Addis Ababa Bole International Airport,Ethiopia,Africa/Addis_Ababa
ADE,Aden International Airport,Yemen,Asia/Aden
ADF,Adıyaman Airport,Turkey,Europe/Istanbul
ADH,Aldan Airport,Russia,Asia/Yakutsk
ADI,Arandis Airport,Namibia,
ADJ,Amman-Marka International Airport,Jordan,Asia/Amman
ADK,Adak Airport,United States,America/Adak
ADL,Adelaide International Airport,Australia,Australia/Adelaide
ADM,Ardmore Municipal Airport,United States,America/Chicago
ADP,Ampara Airport,Sri Lanka,Asia/Colombo
ADQ,Kodiak Airport,United States,America/Anchorage
ADS,Addison Airport,United States,America/Chicago
ADT,Ada Regional Airport,United States,America/Chicago
ADU,Ardabil Airport,Iran,Asia/Tehran
ADW,Joint Base Andrews,United States,America/New_York
ADX,RAF Leuchars,United Kingdom,Europe/London
ADY,Alldays Airport,South Africa,Africa/Johannesburg
ADZ,Gustavo Rojas Pinilla International Airport,Colombia,America/Bogota
AEA,Abemama Atoll Airport,Kiribati,Pacific/Tarawa
AEB,Baise Youjiang Airport,China,Asia/Shanghai
AEG,Aek Godang Airport,Indonesia,Asia/Jakarta
AEH,Abeche Airport,Chad,Africa/Ndjamena
AEI,Algeciras Heliport,Spain,
AEO,Aioun el Atrouss Airport,Mauritania,Africa/Nouakchott
AEP,Jorge Newbery Airpark,Argentina,America/Buenos_Aires
AER,Sochi International Airport,Russia,Europe/Moscow
AES,Ålesund Airport,Norway,Europe/Oslo
AET,Allakaket Airport,United States,America/Anchorage
AEU,Abu Musa Island Airport,Iran,Asia/Tehran
AEX,Alexandria International Airport,United States,America/Chicago
AEY,Akureyri Airport,Iceland,Atlantic/Reykjavik
AFA,Suboficial Ay Santiago Germano Airport,Argentina,America/Mendoza
AFL,Piloto Osvaldo Marques Dias Airport,Brazil,America/Campo_Grande
AFS,Sugraly Airport,Uzbekistan,Asia/Samarkand
AFT,Afutara Aerodrome,Solomon Islands,Pacific/Guadalcanal
AFW,Fort Worth Alliance Airport,United States,America/Chicago
AFY,Afyon Airport,Turkey,Europe/Istanbul
AFZ,Sabzevar National Airport,Iran,Asia/Tehran
AGA,Al Massira Airport,Morocco,Africa/Casablanca
AGB,Augsburg Airport,Germany,Europe/Berlin
AGC,Allegheny County Airport,United States,America/New_York
AGE,Wangerooge Airport,Germany,Europe/Berlin
AGF,Agen-La Garenne Airport,France,Europe/Paris
AGH,Ängelholm-Helsingborg Airport,Sweden,Europe/Stockholm
AGI,Wageningen Airstrip,Suriname,America/Paramaribo
AGJ,Aguni Airport,Japan,Asia/Tokyo
AGN,Angoon Seaplane Base,United States,America/Anchorage
AGP,Málaga Airport,Spain,Europe/Madrid
AGQ,Agrinion Air Base,Greece,Europe/Athens
AGR,Agra Airport,India,Asia/Calcutta
AGS,Augusta Regional At Bush Field,United States,America/New_York
AGT,Guarani International Airport,Paraguay,America/Asuncion
AGU,Jesús Terán Paredo International Airport,Mexico,America/Mexico_City
AGV,Oswaldo Guevara Mujica Airport,Venezuela,America/Caracas
AGX,Agatti Airport,India,Asia/Calcutta
AGZ,Aggeneys Airport,South Africa,Africa/Johannesburg
AHB,Abha Regional Airport,Saudi Arabia,Asia/Riyadh
AHE,Ahe Airport,French Polynesia,Pacific/Tahiti
AHJ,Hongyuan Airport,China,
AHN,Athens Ben Epps Airport,United States,America/New_York
AHO,Alghero-Fertilia Airport,Italy,Europe/Rome
AHS,Ahuas Airport,Honduras,America/Tegucigalpa
AHU,Cherif Al Idrissi Airport,Morocco,Africa/Casablanca
AIA,Alliance Municipal Airport,United States,America/Denver
AID,Anderson Municipal Darlington Field,United States,
AIK,Aiken Regional Airport,United States,America/New_York
AIN,Wainwright Airport,United States,America/Anchorage
AIP,Adampur Airport,India,
AIR,Aripuanã Airport,Brazil,
AIS,Arorae Island Airport,Kiribati,Pacific/Tarawa
AIT,Aitutaki Airport,Cook Islands,Pacific/Rarotonga
AIU,Enua Airport,Cook Islands,Pacific/Rarotonga
AIZ,Lee C Fine Memorial Airport,United States,America/Chicago
AJA,Ajaccio-Napoléon Bonaparte Airport,France,Europe/Paris
AJF,Al-Jawf Domestic Airport,Saudi Arabia,Asia/Riyadh
AJI,Ağrı Airport,Turkey,Europe/Istanbul
AJK,Arak Airport,Iran,Asia/Tehran
AJL,Lengpui Airport,India,Asia/Calcutta
AJN,Ouani Airport,Comoros,Indian/Comoro
AJR,Arvidsjaur Airport,Sweden,Europe/Stockholm
AJU,Santa Maria Airport,Brazil,America/Fortaleza
AJY,Mano Dayak International Airport,Niger,Africa/Niamey
AKA,Ankang Wulipu Airport,China,Asia/Shanghai
AKB,Atka Airport,United States,America/Adak
AKC,Akron Fulton International Airport,United States,America/New_York
AKD,Akola Airport,India,Asia/Calcutta
AKF,Kufra Airport,Libya,Africa/Tripoli
AKH,Prince Sultan Air Base,Saudi Arabia,Asia/Riyadh
AKI,Akiak Airport,United States,America/Anchorage
AKJ,Asahikawa Airport,Japan,Asia/Tokyo
AKK,Akhiok Airport,United States,America/Anchorage
AKL,Auckland International Airport,New Zealand,Pacific/Auckland
AKN,King Salmon Airport,United States,America/Anchorage
AKO,Colorado Plains Regional Airport,United States,America/Denver
AKP,Anaktuvuk Pass Airport,United States,America/Anchorage
AKR,Akure Airport,Nigeria,Africa/Lagos
AKS,Gwaunaru'u Airport,Solomon Islands,Pacific/Guadalcanal
AKT,RAF Akrotiri,Cyprus,Europe/London
AKU,Aksu Airport,China,Asia/Shanghai
AKV,Akulivik Airport,Canada,America/Toronto
AKW,Aghajari Airport,Iran,Asia/Tehran
AKX,Aktobe Airport,Kazakhstan,Asia/Oral
AKY,Sittwe Airport,Burma,Asia/Rangoon
ALA,Almaty Airport,Kazakhstan,Asia/Qyzylorda
ALB,Albany International Airport,United States,America/New_York
ALC,Alicante International Airport,Spain,Europe/Madrid
ALE,Alpine Casparis Municipal Airport,United States,
ALF,Alta Airport,Norway,Europe/Oslo
ALG,Houari Boumediene Airport,Algeria,Africa/Algiers
ALH,Albany Airport,Australia,Australia/Perth
ALI,Alice International Airport,United States,America/Chicago
ALJ,Alexander Bay Airport,South Africa,Africa/Johannesburg
ALL,Villanova D'Albenga International Airport,Italy,Europe/Rome
ALM,Alamogordo White Sands Regional Airport,United States,America/Denver
ALN,St Louis Regional Airport,United States,
ALO,Waterloo Regional Airport,United States,America/Chicago
ALP,Aleppo International Airport,Syria,Asia/Damascus
ALR,Alexandra Airport,New Zealand,Pacific/Auckland
ALS,San Luis Valley Regional Bergman Field,United States,America/Denver
ALU,Alula Airport,Somalia,Africa/Mogadishu
ALW,Walla Walla Regional Airport,United States,America/Los_Angeles
ALX,Thomas C Russell Field,United States,
ALY,El Nouzha Airport,Egypt,Africa/Cairo
AMA,Rick Husband Amarillo International Airport,United States,America/Chicago
AMB,Ambilobe Airport,Madagascar,Indian/Antananarivo
AMC,Am Timan Airport,Chad,Africa/Ndjamena
AMD,Sardar Vallabhbhai Patel International Airport,India,Asia/Calcutta
AMH,Arba Minch Airport,Ethiopia,Africa/Addis_Ababa
AMI,Selaparang Airport,Indonesia,Asia/Makassar
AMM,Queen Alia International Airport,Jordan,Asia/Amman
AMN,Gratiot Community Airport,Canada,
AMQ,"Pattimura Airport, Ambon",Indonesia,Asia/Jayapura
AMS,Amsterdam Airport Schiphol,Netherlands,Europe/Amsterdam
AMT,Amata Airport,Australia,
AMV,Amderma Airport,Russia,Europe/Moscow
AMZ,Ardmore Airport,New Zealand,Pacific/Auckland
ANB,Anniston Regional Airport,United States,America/Chicago
ANC,Ted Stevens Anchorage International Airport,United States,America/Anchorage
AND,Anderson Regional Airport,United States,America/New_York
ANE,Angers-Loire Airport,France,Europe/Paris
ANF,Andrés Sabella Gálvez International Airport,Chile,America/Santiago
ANG,Angoulême-Brie-Champniers Airport,France,Europe/Paris
ANI,Aniak Airport,United States,America/Anchorage
ANK,Etimesgut Air Base,Turkey,Europe/Istanbul
ANM,Antsirabato Airport,Madagascar,Indian/Antananarivo
ANN,Annette Island Airport,United States,America/Anchorage
ANP,Lee Airport,United States,America/New_York
ANQ,Tri State Steuben County Airport,United States,America/New_York
ANR,Antwerp International Airport (Deurne),Belgium,Europe/Brussels
ANS,Andahuaylas Airport,Peru,America/Lima
ANU,V.C. Bird International Airport,Antigua and Barbuda,America/Antigua
ANV,Anvik Airport,United States,America/Anchorage
ANX,Andøya Airport,Norway,Europe/Oslo
AOC,Altenburg-Nobitz Airport,Germany,Europe/Berlin
AOE,Anadolu Airport,Turkey,Europe/Istanbul
AOG,Anshan Air Base,China,Asia/Shanghai
AOH,Lima Allen County Airport,United States,America/New_York
AOI,Ancona Falconara Airport,Italy,Europe/Rome
AOJ,Aomori Airport,Japan,Asia/Tokyo
AOK,Karpathos Airport,Greece,Europe/Athens
AOL,Paso De Los Libres Airport,Argentina,America/Cordoba
AOO,Altoona Blair County Airport,United States,America/New_York
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Peru,America/Lima
AOR,Sultan Abdul Halim Airport,Malaysia,Asia/Kuala_Lumpur
AOT,Aosta Airport,Italy,Europe/Rome
AOU,Attopeu Airport,Laos,
APA,Centennial Airport,United States,America/Denver
APC,Napa County Airport,United States,America/Los_Angeles
APF,Naples Municipal Airport,United States,America/New_York
APG,Phillips Army Air Field,United States,America/New_York
API,Gomez Nino Apiay Air Base,Colombia,
APK,Apataki Airport,French Polynesia,Pacific/Tahiti
APL,Nampula Airport,Mozambique,Africa/Maputo
APN,Alpena County Regional Airport,United States,America/New_York
APO,Antonio Roldan Betancourt Airport,Colombia,America/Bogota
APQ,Arapiraca Airport,Brazil,
APT,Marion County Brown Field,United States,
APW,Faleolo International Airport,Samoa,Pacific/Apia
APZ,Zapala Airport,Argentina,America/Argentina/Salta
AQA,Araraquara Airport,Brazil,America/Sao_Paulo
AQB,Santa Cruz del Quiche Airport,Guatemala,America/Guatemala
AQG,Anqing Tianzhushan Airport,China,Asia/Shanghai
AQI,Al Qaisumah/Hafr Al Batin Airport,Saudi Arabia,Asia/Riyadh
AQJ,Aqaba King Hussein International Airport,Jordan,Asia/Amman
AQP,Rodríguez Ballón International Airport,Peru,America/Lima
ARA,Acadiana Regional Airport,United States,America/Chicago
ARB,Ann Arbor Municipal Airport,United States,America/New_York
ARC,Arctic Village Airport,United States,America/Anchorage
ARD,Mali Airport,Indonesia,Asia/Makassar
ARE,Antonio Nery Juarbe Pol Airport,Puerto Rico,America/Puerto_Rico
ARH,Talagi Airport,Russia,Europe/Moscow
ARI,Chacalluta Airport,Chile,America/Santiago
ARK,Arusha Airport,Tanzania,Africa/Dar_es_Salaam
ARM,Armidale Airport,Australia,Australia/Sydney
ARN,Stockholm-Arlanda Airport,Sweden,Europe/Stockholm
ARR,D. Casimiro Szlapelis Airport,Argentina,America/Catamarca
ART,Watertown International Airport,United States,America/New_York
ARU,Araçatuba Airport,Brazil,America/Sao_Paulo
ARV,Lakeland-Noble F. Lee Memorial field,United States,America/Chicago
ARW,Arad International Airport,Romania,Europe/Bucharest
ARY,Ararat Airport,Australia,
ASA,Assab International Airport,Eritrea,Africa/Asmera
ASB,Ashgabat International Airport,Turkmenistan,Asia/Ashgabat
ASD,Andros Town Airport,Bahamas,America/Nassau
ASE,Aspen-Pitkin Co/Sardy Field,United States,America/Denver
ASF,Astrakhan Airport,Russia,Europe/Samara
ASH,Boire Field,United States,America/New_York
ASI,RAF Ascension Island,Saint Helena,Atlantic/St_Helena
ASJ,Amami Airport,Japan,Asia/Tokyo
ASK,Yamoussoukro Airport,Cote d'Ivoire,Africa/Abidjan
ASM,Asmara International Airport,Eritrea,Africa/Asmera
ASN,Talladega Municipal Airport,United States,
ASO,Asosa Airport,Ethiopia,Africa/Addis_Ababa
ASP,Alice Springs Airport,Australia,Australia/Darwin
ASR,Kayseri Erkilet Airport,Turkey,Europe/Istanbul
ASS,Arathusa Safari Lodge Airport,South Africa,
AST,Astoria Regional Airport,United States,America/Los_Angeles
ASU,Silvio Pettirossi International Airport,Paraguay,America/Asuncion
ASV,Amboseli Airport,Kenya,Africa/Nairobi
ASW,Aswan International Airport,Egypt,Africa/Cairo
ATA,Comandante FAP German Arias Graziani Airport,Peru,America/Lima
ATB,Atbara Airport,Sudan,Africa/Khartoum
ATC,Arthur's Town Airport,Bahamas,America/Nassau
ATD,Uru Harbour Airport,Solomon Islands,Pacific/Guadalcanal
ATF,Chachoán Airport,Ecuador,America/Guayaquil
ATG,Minhas Air Base,Pakistan,
ATH,Eleftherios Venizelos International Airport,Greece,Europe/Athens
ATI,Artigas International Airport,Uruguay,
ATJ,Antsirabe Airport,Madagascar,Indian/Antananarivo
ATK,Atqasuk Edward Burnell Sr Memorial Airport,United States,America/Anchorage
ATL,Hartsfield Jackson Atlanta International Airport,United States,America/New_York
ATM,Altamira Airport,Brazil,America/Belem
ATO,Ohio University Snyder Field,United States,America/New_York
ATQ,Sri Guru Ram Dass Jee International Airport,India,Asia/Calcutta
ATR,Atar International Airport,Mauritania,Africa/Nouakchott
ATW,Appleton International Airport,United States,America/Chicago
ATY,Watertown Regional Airport,United States,America/Chicago
ATZ,Assiut International Airport,Egypt,Africa/Cairo
AUA,Queen Beatrix International Airport,Aruba,America/Aruba
AUC,Santiago Perez Airport,Colombia,America/Bogota
AUF,Auxerre-Branches Airport,France,Europe/Paris
AUG,Augusta State Airport,United States,America/New_York
AUH,Abu Dhabi International Airport,United Arab Emirates,Asia/Dubai
AUK,Alakanuk Airport,United States,America/Anchorage
AUO,Auburn University Regional Airport,United States,America/Chicago
AUQ,Hiva Oa-Atuona Airport,French Polynesia,Pacific/Marquesas
AUR,Aurillac Airport,France,Europe/Paris
AUS,Austin Bergstrom International Airport,United States,America/Chicago
AUU,Aurukun Airport,Australia,Australia/Brisbane
AUW,Wausau Downtown Airport,United States,America/Chicago
AUX,Araguaína Airport,Brazil,America/Fortaleza
AUY,Aneityum Airport,Vanuatu,Pacific/Efate
AVA,Anshun Huangguoshu Airport,China,Asia/Shanghai
AVB,Aviano Air Base,Italy,Europe/Rome
AVI,Maximo Gomez Airport,Cuba,America/Havana
AVK,Arvaikheer Airport,Mongolia,Asia/Ulaanbaatar
AVL,Asheville Regional Airport,United States,America/New_York
AVN,Avignon-Caumont Airport,France,Europe/Paris
AVO,Avon Park Executive Airport,United States,America/New_York
AVP,Wilkes Barre Scranton International Airport,United States,America/New_York
AVR,Alverca Air Base,Portugal,Europe/Lisbon
AVV,Avalon Airport,Australia,Australia/Hobart
AVW,Marana Regional Airport,United States,America/Phoenix
AVX,Catalina Airport,United States,America/Los_Angeles
AWA,Awassa Airport,Ethiopia,Africa/Addis_Ababa
AWD,Aniwa Airport,Vanuatu,Pacific/Efate
AWK,Wake Island Airfield,Wake Island,Pacific/Johnston
AWZ,Ahwaz Airport,Iran,Asia/Tehran
AXA,Clayton J Lloyd International Airport,Anguilla,America/Anguilla
AXD,Dimokritos Airport,Greece,Europe/Athens
AXF,Alxa Left Banner Bayanhot Airport,China,
AXJ,Amakusa Airport,Japan,Asia/Tokyo
AXK,Ataq Airport,Yemen,Asia/Aden
AXM,El Eden Airport,Colombia,America/Bogota
AXN,Chandler Field,United States,
AXP,Spring Point Airport,Bahamas,America/Nassau
AXR,Arutua Airport,French Polynesia,Pacific/Tahiti
AXT,Akita Airport,Japan,Asia/Tokyo
AXU,Axum Airport,Ethiopia,Africa/Addis_Ababa
AYK,Arkalyk North Airport,Kazakhstan,Asia/Qyzylorda
AYO,Juan De Ayolas Airport,Paraguay,America/Asuncion
AYP,Coronel FAP Alfredo Mendivil Duarte Airport,Peru,America/Lima
AYQ,Ayers Rock Connellan Airport,Australia,Australia/Darwin
AYS,Waycross Ware County Airport,United States,
AYT,Antalya International Airport,Turkey,Europe/Istanbul
AYW,Ayawasi Airport,Indonesia,
AZA,Phoenix-Mesa-Gateway Airport,United States,America/Phoenix
AZD,Shahid Sadooghi Airport,Iran,Asia/Tehran
AZI,Bateen Airport,United Arab Emirates,Asia/Dubai
AZN,Andizhan Airport,Uzbekistan,Asia/Samarkand
AZO,Kalamazoo Battle Creek International Airport,United States,America/New_York
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Algeria,Africa/Algiers
AZS,Samaná El Catey International Airport,Dominican Republic,America/Santo_Domingo
BAB,Beale Air Force Base,United States,America/Los_Angeles
BAD,Barksdale Air Force Base,United States,America/Chicago
BAF,Westfield-Barnes Regional Airport,United States,America/New_York
BAG,Loakan Airport,Philippines,Asia/Manila
BAH,Bahrain International Airport,Bahrain,Asia/Bahrain
BAI,Buenos Aires Airport,Costa Rica,America/Costa_Rica
BAL,Batman Airport,Turkey,Europe/Istanbul
BAQ,Ernesto Cortissoz International Airport,Colombia,America/Bogota
BAR,Qionghai Bo'ao Airport,China,
BAS,Ballalae Airport,Solomon Islands,Pacific/Guadalcanal
BAT,Chafei Amsei Airport,Brazil,
BAU,Bauru Airport,Brazil,America/Sao_Paulo
BAV,Baotou Airport,China,Asia/Shanghai
BAX,Barnaul Airport,Russia,Asia/Krasnoyarsk
BAY,Tautii Magheraus Airport,Romania,Europe/Bucharest
BAZ,Barcelos Airport,Brazil,America/Boa_Vista
BBA,Balmaceda Airport,Chile,America/Santiago
BBC,Bay City Municipal Airport,United States,
BBD,Curtis Field,United States,
BBG,Butaritari Atoll Airport,Kiribati,Pacific/Tarawa
BBH,Barth Airport,Germany,Europe/Berlin
BBI,Biju Patnaik Airport,India,Asia/Calcutta
BBJ,Bitburg Airport,Germany,Europe/Berlin
BBK,Kasane Airport,Botswana,Africa/Gaborone
BBL,Ballera Airport,Australia,Australia/Brisbane
BBM,Battambang Airport,Cambodia,Asia/Phnom_Penh
BBN,Bario Airport,Malaysia,Asia/Kuala_Lumpur
BBO,Berbera Airport,Somalia,Africa/Mogadishu
BBP,Bembridge Airport,United Kingdom,Europe/London
BBQ,Codrington Airport,Antigua and Barbuda,America/Antigua
BBR,Baillif Airport,Guadeloupe,America/Guadeloupe
BBS,Blackbushe Airport,United Kingdom,Europe/London
BBT,Berbérati Airport,Central African Republic,Africa/Bangui
BBU,Băneasa International Airport,Romania,Europe/Bucharest
BBX,Wings Field,United States,America/New_York
BCA,Gustavo Rizo Airport,Cuba,America/Havana
BCD,Bacolod-Silay Airport,Philippines,Asia/Manila
BCE,Bryce Canyon Airport,United States,America/Denver
BCH,Cakung Airport,East Timor,Asia/Dili
BCI,Barcaldine Airport,Australia,Australia/Brisbane
BCL,Barra del Colorado Airport,Costa Rica,America/Costa_Rica
BCM,Bacău Airport,Romania,Europe/Bucharest
BCN,Barcelona International Airport,Spain,Europe/Madrid
BCO,Baco Airport,Ethiopia,Africa/Addis_Ababa
BCT,Boca Raton Airport,United States,America/New_York
BCU,Sir Abubakar Tafawa Balewa International Airport,Nigeria,
BDA,L.F. Wade International International Airport,Bermuda,Atlantic/Bermuda
BDB,Bundaberg Airport,Australia,Australia/Brisbane
BDD,Badu Island Airport,Australia,Australia/Brisbane
BDE,Baudette International Airport,United States,America/Chicago
BDH,Bandar Lengeh Airport,Iran,Asia/Tehran
BDI,Bird Island Airport,Seychelles,
BDJ,Syamsudin Noor Airport,Indonesia,Asia/Makassar
BDL,Bradley International Airport,United States,America/New_York
BDM,Bandırma Airport,Turkey,Europe/Istanbul
BDN,Talhar Airport,Pakistan,Asia/Karachi
BDO,Husein Sastranegara International Airport,Indonesia,Asia/Jakarta
BDP,Bhadrapur Airport,Nepal,Asia/Katmandu
BDQ,Vadodara Airport,India,Asia/Calcutta
BDR,Igor I Sikorsky Memorial Airport,United States,America/New_York
BDS,Brindisi – Salento Airport,Italy,Europe/Rome
BDT,Gbadolite Airport,Congo (Kinshasa),Africa/Kinshasa
BDU,Bardufoss Airport,Norway,Europe/Oslo
BEB,Benbecula Airport,United Kingdom,Europe/London
BEC,Beech Factory Airport,United States,America/Chicago
BED,Laurence G Hanscom Field,United States,America/New_York
BEF,Bluefields Airport,Nicaragua,America/Managua
BEG,Belgrade Nikola Tesla Airport,Serbia,Europe/Belgrade
BEI,Beica Airport,Ethiopia,Africa/Addis_Ababa
BEJ,Kalimarau Airport,Indonesia,Asia/Makassar
BEK,Bareilly Air Force Station,India,Asia/Calcutta
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,Brazil,America/Belem
BEM,Beni Mellal Airport,Morocco,Africa/Casablanca
BEN,Benina International Airport,Libya,Africa/Tripoli
BEO,Lake Macquarie Airport,Australia,Australia/Sydney
BEP,Bellary Airport,India,Asia/Calcutta
BEQ,RAF Honington,United Kingdom,Europe/London
BES,Brest Bretagne Airport,France,Europe/Paris
BET,Bethel Airport,United States,America/Anchorage
BEU,Bedourie Airport,Australia,Australia/Brisbane
BEV,Beersheba (Teyman) Airport,Israel,Asia/Jerusalem
BEW,Beira Airport,Mozambique,Africa/Maputo
BEX,RAF Benson,United Kingdom,Europe/London
BEY,Beirut Rafic Hariri International Airport,Lebanon,Asia/Beirut
BEZ,Beru Airport,Kiribati,Pacific/Tarawa
BFD,Bradford Regional Airport,United States,America/New_York
BFE,Bielefeld Airport,Germany,Europe/Berlin
BFF,Western Neb. Rgnl/William B. Heilig Airport,United States,America/Denver
BFH,Bacacheri Airport,Brazil,America/Sao_Paulo
BFI,Boeing Field King County International Airport,United States,America/Los_Angeles
BFJ,Bijie Feixiong Airport,China,Asia/Shanghai
BFK,Buckley Air Force Base,United States,America/Denver
BFL,Meadows Field,United States,America/Los_Angeles
BFM,Mobile Downtown Airport,United States,America/Chicago
BFN,Bram Fischer International Airport,South Africa,Africa/Johannesburg
BFO,Buffalo Range Airport,Zimbabwe,Africa/Harare
BFP,Beaver County Airport,United States,America/New_York
BFS,Belfast International Airport,United Kingdom,Europe/London
BFT,Beaufort County Airport,United States,America/New_York
BFU,Bengbu Airport,China,
BFV,Buri Ram Airport,Thailand,Asia/Bangkok
BFW,Sidi Bel Abbes Airport,Algeria,Africa/Algiers
BFX,Bafoussam Airport,Cameroon,Africa/Douala
BGA,Palonegro Airport,Colombia,America/Bogota
BGC,Bragança Airport,Portugal,Europe/Lisbon
BGD,Hutchinson County Airport,United States,
BGE,Decatur County Industrial Air Park,United States,America/New_York
BGF,Bangui M'Poko International Airport,Central African Republic,Africa/Bangui
BGG,Bingöl Çeltiksuyu Airport,Turkey,Europe/Istanbul
BGI,Sir Grantley Adams International Airport,Barbados,America/Barbados
BGL,Baglung Airport,Nepal,
BGM,Greater Binghamton/Edwin A Link field,United States,America/New_York
BGN,Belaya Gora Airport,Russia,
BGO,Bergen Airport Flesland,Norway,Europe/Oslo
BGR,Bangor International Airport,United States,America/New_York
BGW,Baghdad International Airport,Iraq,Asia/Baghdad
BGX,Comandante Gustavo Kraemer Airport,Brazil,America/Sao_Paulo
BGY,Il Caravaggio International Airport,Italy,Europe/Rome
BGZ,Braga Municipal Aerodrome,Portugal,Europe/Lisbon
BHB,Hancock County-Bar Harbor Airport,United States,America/New_York
BHD,George Best Belfast City Airport,United Kingdom,Europe/London
BHE,Woodbourne Airport,New Zealand,Pacific/Auckland
BHG,Brus Laguna Airport,Honduras,America/Tegucigalpa
BHH,Bisha Airport,Saudi Arabia,Asia/Riyadh
BHI,Comandante Espora Airport,Argentina,America/Buenos_Aires
BHJ,Bhuj Airport,India,Asia/Calcutta
BHK,Bukhara Airport,Uzbekistan,Asia/Samarkand
BHM,Birmingham-Shuttlesworth International Airport,United States,America/Chicago
BHN,Beihan Airport,Yemen,Asia/Aden
BHO,Raja Bhoj International Airport,India,Asia/Calcutta
BHP,Bhojpur Airport,Nepal,Asia/Katmandu
BHQ,Broken Hill Airport,Australia,Australia/Adelaide
BHR,Bharatpur Airport,Nepal,Asia/Katmandu
BHS,Bathurst Airport,Australia,Australia/Sydney
BHU,Bhavnagar Airport,India,Asia/Calcutta
BHV,Bahawalpur Airport,Pakistan,Asia/Karachi
BHW,Bhagatanwala Airport,Pakistan,Asia/Karachi
BHX,Birmingham International Airport,United Kingdom,Europe/London
BHY,Beihai Airport,China,Asia/Shanghai
BIA,Bastia-Poretta Airport,France,Europe/Paris
BIB,Baidoa Airport,Somalia,
BID,Block Island State Airport,United States,America/New_York
BIF,Biggs Army Air Field (Fort Bliss),United States,America/Denver
BIG,Allen Army Airfield,United States,America/Anchorage
BIH,Eastern Sierra Regional Airport,United States,
BIK,Frans Kaisiepo Airport,Indonesia,Asia/Jayapura
BIL,Billings Logan International Airport,United States,America/Denver
BIM,South Bimini Airport,Bahamas,America/Nassau
