iata,name,country,tz
SUX,Sioux Gateway Col. Bud Day Field,United States,America/Chicago
SUY,Suntar Airport,Russia,Asia/Yakutsk
SVA,Savoonga Airport,United States,America/Anchorage
SVB,Sambava Airport,Madagascar,Indian/Antananarivo
SVD,Argyle International Airport,Saint Vincent and the Grenadines,America/St_Vincent
SVG,Stavanger Airport Sola,Norway,Europe/Oslo
SVH,Statesville Regional Airport,United States,America/New_York
SVI,Eduardo Falla Solano Airport,Colombia,America/Bogota
SVJ,Svolvær Helle Airport,Norway,Europe/Oslo
SVL,Savonlinna Airport,Finland,Europe/Helsinki
SVN,Hunter Army Air Field,United States,America/New_York
SVO,Sheremetyevo International Airport,Russia,Europe/Moscow
SVP,Kuito Airport,Angola,Africa/Luanda
SVQ,Sevilla Airport,Spain,Europe/Madrid
SVU,Savusavu Airport,Fiji,Pacific/Fiji
SVW,Sparrevohn LRRS Airport,United States,America/Anchorage
SVX,Koltsovo Airport,Russia,Asia/Yekaterinburg
SVZ,San Antonio Del Tachira Airport,Venezuela,America/Caracas
SWA,Jieyang Chaoshan International Airport,China,Asia/Shanghai
SWC,Stawell Airport,Australia,
SWD,Seward Airport,United States,America/Anchorage
SWF,Stewart International Airport,United States,America/New_York
SWH,Swan Hill Airport,Australia,
SWJ,Southwest Bay Airport,Vanuatu,Pacific/Efate
SWO,Stillwater Regional Airport,United States,America/Chicago
SWP,Swakopmund Airport,Namibia,Africa/Windhoek
SWQ,Sumbawa Besar Airport,Indonesia,Asia/Makassar
SWS,Swansea Airport,United Kingdom,Europe/London
SWT,Strezhevoy Airport,Russia,Asia/Krasnoyarsk
SWU,Suwon Airport,South Korea,Asia/Seoul
SWX,Shakawe Airport,Botswana,Africa/Gaborone
SXB,Strasbourg Airport,France,Europe/Paris
SXE,West Sale Airport,Australia,
SXF,Berlin-Schönefeld Airport,Germany,Europe/Berlin
SXI,Sirri Island Airport,Iran,Asia/Tehran
SXJ,Shanshan Airport,China,
SXK,Saumlaki/Olilit Airport,Indonesia,
SXL,Sligo Airport,Ireland,Europe/Dublin
SXM,Princess Juliana International Airport,Netherlands Antilles,America/Curacao
SXN,Sua Pan Airport,Botswana,
SXO,São Félix do Araguaia Airport,Brazil,America/Campo_Grande
SXQ,Soldotna Airport,United States,America/Anchorage
SXR,Sheikh ul Alam Airport,India,Asia/Calcutta
SXV,Salem Airport,India,Asia/Calcutta
SXX,São Félix do Xingu Airport,Brazil,America/Belem
SXZ,Siirt Airport,Turkey,Europe/Istanbul
SYA,Eareckson Air Station,United States,America/Adak
SYD,Sydney Kingsford Smith International Airport,Australia,Australia/Sydney
SYH,Syangboche Airport,Nepal,Asia/Katmandu
SYJ,Sirjan Airport,Iran,Asia/Tehran
SYM,Pu'er Simao Airport,China,Asia/Shanghai
SYO,Shonai Airport,Japan,Asia/Tokyo
SYP,Ruben Cantu Airport,Panama,America/Panama
SYQ,Tobias Bolanos International Airport,Costa Rica,America/Costa_Rica
SYR,Syracuse Hancock International Airport,United States,America/New_York
SYS,Saskylakh Airport,Russia,Asia/Yakutsk
SYT,Saint-Yan Airport,France,Europe/Paris
SYU,Warraber Island Airport,Australia,Australia/Brisbane
SYW,Sehwan Sharif Airport,Pakistan,Asia/Karachi
SYX,Sanya Phoenix International Airport,China,Asia/Shanghai
SYY,Stornoway Airport,United Kingdom,Europe/London
SYZ,Shiraz Shahid Dastghaib International Airport,Iran,Asia/Tehran
SZA,Soyo Airport,Angola,Africa/Luanda
SZB,Sultan Abdul Aziz Shah International Airport,Malaysia,Asia/Kuala_Lumpur
SZF,Samsun Çarşamba Airport,Turkey,Europe/Istanbul
SZG,Salzburg Airport,Austria,Europe/Vienna
SZJ,Siguanea Airport,Cuba,America/Havana
SZK,Skukuza Airport,South Africa,Africa/Johannesburg
SZL,Whiteman Air Force Base,United States,America/Chicago
SZR,Stara Zagora Airport,Bulgaria,Europe/Sofia
SZS,Ryan's Creek Aerodrome,New Zealand,Pacific/Auckland
SZT,San Cristobal de las Casas Airport,Mexico,America/Mexico_City
SZV,Suzhou Guangfu Airport,China,Asia/Shanghai
SZW,Schwerin Parchim Airport,Germany,Europe/Berlin
SZX,Shenzhen Bao'an International Airport,China,Asia/Shanghai
SZY,Olsztyn-Mazury Airport,Poland,
SZZ,"Szczecin-Goleniów ""Solidarność"" Airport",Poland,Europe/Warsaw
TAB,Tobago-Crown Point Airport,Trinidad and Tobago,America/Port_of_Spain
TAC,Daniel Z. Romualdez Airport,Philippines,Asia/Manila
TAE,Daegu Airport,South Korea,Asia/Seoul
TAF,Tafaraoui Airport,Algeria,Africa/Algiers
TAG,Tagbilaran Airport,Philippines,Asia/Manila
TAH,Tanna Airport,Vanuatu,Pacific/Efate
TAI,Ta'izz International Airport,Yemen,Asia/Aden
TAK,Takamatsu Airport,Japan,Asia/Tokyo
TAM,General Francisco Javier Mina International Airport,Mexico,America/Mexico_City
TAO,Liuting Airport,China,Asia/Shanghai
TAP,Tapachula International Airport,Mexico,America/Mexico_City
TAR,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",Italy,Europe/Rome
TAS,Tashkent International Airport,Uzbekistan,Asia/Samarkand
TAT,Poprad-Tatry Airport,Slovakia,Europe/Bratislava
TAY,Tartu Airport,Estonia,Europe/Tallinn
TAZ,Daşoguz Airport,Turkmenistan,Asia/Ashgabat
TBB,Dong Tac Airport,Vietnam,Asia/Saigon
TBF,Tabiteuea North Airport,Kiribati,
TBG,Tabubil Airport,Papua New Guinea,Pacific/Port_Moresby
TBH,Tugdan Airport,Philippines,Asia/Manila
TBI,New Bight Airport,Bahamas,America/Nassau
TBJ,Tabarka 7 Novembre Airport,Tunisia,Africa/Tunis
TBN,Waynesville-St. Robert Regional Forney field,United States,America/Chicago
TBO,Tabora Airport,Tanzania,Africa/Dar_es_Salaam
TBP,Capitan FAP Pedro Canga Rodriguez Airport,Peru,America/Lima
TBR,Statesboro Bulloch County Airport,United States,
TBS,Tbilisi International Airport,Georgia,Asia/Tbilisi
TBT,Tabatinga Airport,Brazil,America/Boa_Vista
TBU,Fua'amotu International Airport,Tonga,Pacific/Tongatapu
TBW,Donskoye Airport,Russia,Europe/Moscow
TBZ,Tabriz International Airport,Iran,Asia/Tehran
TCA,Tennant Creek Airport,Australia,Australia/Darwin
TCB,Treasure Cay Airport,Bahamas,America/Nassau
TCC,Tucumcari Municipal Airport,United States,America/Denver
TCE,Tulcea Airport,Romania,Europe/Bucharest
TCG,Tacheng Airport,China,Asia/Shanghai
TCH,Tchibanga Airport,Gabon,Africa/Libreville
TCL,Tuscaloosa Regional Airport,United States,America/Chicago
TCM,McChord Air Force Base,United States,America/Los_Angeles
TCN,Tehuacan Airport,Mexico,America/Mexico_City
TCO,La Florida Airport,Colombia,America/Bogota
TCP,Taba International Airport,Egypt,Africa/Cairo
TCQ,Coronel FAP Carlos Ciriani Santa Rosa International Airport,Peru,America/Lima
TCS,Truth Or Consequences Municipal Airport,United States,America/Denver
TCX,Tabas Airport,Iran,Asia/Tehran
TCZ,Tengchong Tuofeng Airport,China,Asia/Shanghai
TDD,Teniente Av. Jorge Henrich Arauz Airport,Bolivia,America/La_Paz
TDG,Tandag Airport,Philippines,Asia/Manila
TDJ,Tadjoura Airport,Djibouti,Africa/Djibouti
TDL,Héroes De Malvinas Airport,Argentina,America/Buenos_Aires
TDR,Theodore Airport,Australia,Australia/Brisbane
TDS,Sasereme Airport,Papua New Guinea,
TDX,Trat Airport,Thailand,Asia/Bangkok
TEA,Tela Airport,Honduras,America/Tegucigalpa
TEB,Teterboro Airport,United States,America/New_York
TEC,Telêmaco Borba Airport,Brazil,America/Sao_Paulo
TED,Thisted Airport,Denmark,Europe/Copenhagen
TEE,Cheikh Larbi Tébessi Airport,Algeria,Africa/Algiers
TEF,Telfer Airport,Australia,Australia/Perth
TEI,Tezu Airport,India,
TEM,Temora Airport,Australia,Australia/Sydney
TEN,Tongren Fenghuang Airport,China,Asia/Shanghai
TEQ,Tekirdağ Çorlu Airport,Turkey,Europe/Istanbul
TER,Lajes Airport,Portugal,Atlantic/Azores
TET,Chingozi Airport,Mozambique,Africa/Maputo
TEU,Manapouri Airport,New Zealand,Pacific/Auckland
TEV,Teruel Airport,Spain,
TEX,Telluride Regional Airport,United States,America/Denver
TEZ,Tezpur Airport,India,Asia/Calcutta
TFF,Tefé Airport,Brazil,America/Boa_Vista
TFL,Juscelino Kubitscheck Airport,Brazil,
TFN,Tenerife Norte Airport,Spain,Atlantic/Canary
TFS,Tenerife South Airport,Spain,Atlantic/Canary
TGA,Tengah Air Base,Singapore,Asia/Singapore
TGD,Podgorica Airport,Montenegro,Europe/Podgorica
TGG,Sultan Mahmud Airport,Malaysia,Asia/Kuala_Lumpur
TGH,Tongoa Airport,Vanuatu,Pacific/Efate
TGI,Tingo Maria Airport,Peru,America/Lima
TGJ,Tiga Airport,New Caledonia,Pacific/Noumea
TGK,Taganrog Yuzhny Airport,Russia,Europe/Moscow
TGM,Transilvania Târgu Mureş International Airport,Romania,Europe/Bucharest
TGN,Latrobe Valley Airport,Australia,
TGO,Tongliao Airport,China,Asia/Shanghai
TGP,Podkamennaya Tunguska Airport,Russia,Asia/Krasnoyarsk
TGQ,Tangará da Serra Airport,Brazil,
TGR,Touggourt Sidi Madhi Airport,Algeria,Africa/Algiers
TGT,Tanga Airport,Tanzania,Africa/Dar_es_Salaam
TGU,Toncontín International Airport,Honduras,America/Tegucigalpa
TGZ,Angel Albino Corzo International Airport,Mexico,America/Mexico_City
THE,Senador Petrônio Portela Airport,Brazil,America/Fortaleza
THF,Berlin-Tempelhof International Airport,Germany,Europe/Berlin
THG,Thangool Airport,Australia,Australia/Brisbane
THL,Tachileik Airport,Burma,Asia/Rangoon
THN,Trollhättan-Vänersborg Airport,Sweden,Europe/Stockholm
THO,Thorshofn Airport,Iceland,Atlantic/Reykjavik
THQ,Tianshui Maijishan Airport,China,Asia/Shanghai
THR,Mehrabad International Airport,Iran,Asia/Tehran
THS,Sukhothai Airport,Thailand,Asia/Bangkok
THU,Thule Air Base,Greenland,America/Thule
THX,Turukhansk Airport,Russia,Asia/Krasnoyarsk
THZ,Tahoua Airport,Niger,Africa/Niamey
TIA,Tirana International Airport Mother Teresa,Albania,Europe/Tirane
TID,Bou Chekif Airport,Algeria,Africa/Algiers
TIE,Tippi Airport,Ethiopia,Africa/Addis_Ababa
TIF,Ta’if Regional Airport,Saudi Arabia,Asia/Riyadh
TIH,Tikehau Airport,French Polynesia,Pacific/Tahiti
TII,Tarin Kowt Airport,Afghanistan,Asia/Kabul
TIJ,General Abelardo L. Rodríguez International Airport,Mexico,America/Tijuana
TIK,Tinker Air Force Base,United States,America/Chicago
TIM,Moses Kilangin Airport,Indonesia,Asia/Jayapura
TIN,Tindouf Airport,Algeria,Africa/Algiers
TIP,Tripoli International Airport,Libya,Africa/Tripoli
TIQ,Tinian International Airport,Northern Mariana Islands,Pacific/Saipan
TIR,Tirupati Airport,India,Asia/Calcutta
TIU,Timaru Airport,New Zealand,Pacific/Auckland
TIV,Tivat Airport,Montenegro,Europe/Podgorica
TIW,Tacoma Narrows Airport,United States,America/Los_Angeles
TIX,Space Coast Regional Airport,United States,America/New_York
TIY,Tidjikja Airport,Mauritania,Africa/Nouakchott
TIZ,Tari Airport,Papua New Guinea,Pacific/Port_Moresby
TJA,Capitan Oriel Lea Plaza Airport,Bolivia,America/La_Paz
TJB,Sei Bati Airport,Indonesia,
TJG,Warukin Airport,Indonesia,Asia/Makassar
TJH,Tajima Airport,Japan,Asia/Tokyo
TJI,Trujillo Airport,Honduras,America/Tegucigalpa
TJK,Tokat Airport,Turkey,Europe/Istanbul
TJL,Plínio Alarcom Airport,Brazil,America/Campo_Grande
TJM,Roshchino International Airport,Russia,Asia/Yekaterinburg
TJQ,Buluh Tumbang (H A S Hanandjoeddin) Airport,Indonesia,Asia/Jakarta
TJS,Tanjung Harapan Airport,Indonesia,Asia/Makassar
TJU,Kulob Airport,Tajikistan,Asia/Dushanbe
TJV,Tanjore Air Force Base,India,Asia/Calcutta
TKA,Talkeetna Airport,United States,America/Anchorage
TKC,Tiko Airport,Cameroon,Africa/Douala
TKD,Takoradi Airport,Ghana,Africa/Accra
TKF,Truckee Tahoe Airport,United States,America/Los_Angeles
TKG,Radin Inten II (Branti) Airport,Indonesia,Asia/Jakarta
TKH,Takhli Airport,Thailand,Asia/Bangkok
TKJ,Tok Junction Airport,United States,America/Anchorage
TKK,Chuuk International Airport,Micronesia,Pacific/Truk
TKN,Tokunoshima Airport,Japan,Asia/Tokyo
TKP,Takapoto Airport,French Polynesia,Pacific/Tahiti
TKQ,Kigoma Airport,Tanzania,Africa/Dar_es_Salaam
TKS,Tokushima Airport/JMSDF Air Base,Japan,Asia/Tokyo
TKT,Tak Airport,Thailand,Asia/Bangkok
TKU,Turku Airport,Finland,Europe/Helsinki
TKV,Tatakoto Airport,French Polynesia,
TKX,Takaroa Airport,French Polynesia,Pacific/Tahiti
TLA,Teller Airport,United States,America/Anchorage
TLC,Licenciado Adolfo Lopez Mateos International Airport,Mexico,America/Mexico_City
TLD,Limpopo Valley Airport,Botswana,Africa/Gaborone
TLE,Toliara Airport,Madagascar,Indian/Antananarivo
TLH,Tallahassee Regional Airport,United States,America/New_York
TLI,Sultan Bantilan Airport,Indonesia,
TLJ,Tatalina LRRS Airport,United States,America/Anchorage
TLK,Talakan Airport,Russia,
TLL,Lennart Meri Tallinn Airport,Estonia,Europe/Tallinn
TLM,Zenata – Messali El Hadj Airport,Algeria,Africa/Algiers
TLN,Toulon-Hyères Airport,France,Europe/Paris
TLQ,Turpan Jiaohe Airport,China,Asia/Shanghai
TLS,Toulouse-Blagnac Airport,France,Europe/Paris
TLU,Golfo de Morrosquillo Airport,Colombia,America/Bogota
TLV,Ben Gurion International Airport,Israel,Asia/Jerusalem
TLX,Panguilemo Airport,Chile,
TMA,Henry Tift Myers Airport,United States,America/New_York
TMB,Kendall-Tamiami Executive Airport,United States,America/New_York
TMC,Tambolaka Airport,Indonesia,Asia/Makassar
TME,Gustavo Vargas Airport,Colombia,America/Bogota
TMF,Thimarafushi Airport,Maldives,
TMG,Tomanggong Airport,Malaysia,Asia/Kuala_Lumpur
TMH,Tanah Merah Airport,Indonesia,
TMI,Tumling Tar Airport,Nepal,Asia/Katmandu
TMJ,Termez Airport,Uzbekistan,Asia/Samarkand
TML,Tamale Airport,Ghana,Africa/Accra
TMM,Toamasina Airport,Madagascar,Indian/Antananarivo
TMN,Tamana Island Airport,Kiribati,Pacific/Tarawa
TMO,Tumeremo Airport,Venezuela,America/Caracas
TMP,Tampere-Pirkkala Airport,Finland,Europe/Helsinki
TMR,Aguenar – Hadj Bey Akhamok Airport,Algeria,Africa/Algiers
TMS,São Tomé International Airport,Sao Tome and Principe,Africa/Sao_Tome
TMT,Trombetas Airport,Brazil,America/Belem
TMU,Tambor Airport,Costa Rica,America/Costa_Rica
TMW,Tamworth Airport,Australia,Australia/Sydney
TMX,Timimoun Airport,Algeria,Africa/Algiers
TNA,Yaoqiang Airport,China,Asia/Shanghai
TNC,Tin City Long Range Radar Station Airport,United States,America/Anchorage
TND,Alberto Delgado Airport,Cuba,America/Havana
TNE,New Tanegashima Airport,Japan,Asia/Tokyo
TNF,Toussus-le-Noble Airport,France,Europe/Paris
TNG,Ibn Batouta Airport,Morocco,Africa/Casablanca
TNH,Tonghua Sanyuanpu Airport,China,Asia/Shanghai
TNI,Satna Airport,India,Asia/Calcutta
TNJ,Raja Haji Fisabilillah International Airport,Indonesia,Asia/Jakarta
TNM,Teniente Rodolfo Marsh Martin Base,Antarctica,Antarctica/South_Pole
TNN,Tainan Airport,Taiwan,Asia/Taipei
TNR,Ivato Airport,Madagascar,Indian/Antananarivo
TNT,Dade Collier Training and Transition Airport,United States,America/New_York
TNW,Jumandy Airport,Ecuador,
TNX,Stung Treng Airport,Cambodia,Asia/Phnom_Penh
TOA,Zamperini Field,United States,America/Los_Angeles
TOB,Gamal Abdel Nasser Airport,Libya,Africa/Tripoli
TOC,Toccoa Airport - R.G. Letourneau Field,United States,America/New_York
TOD,Pulau Tioman Airport,Malaysia,Asia/Kuala_Lumpur
TOE,Tozeur Nefta International Airport,Tunisia,Africa/Tunis
TOF,Bogashevo Airport,Russia,Asia/Krasnoyarsk
TOG,Togiak Airport,United States,America/Anchorage
TOH,Torres Airstrip,Vanuatu,Pacific/Efate
TOI,Troy Municipal Airport at N Kenneth Campbell Field,United States,
TOJ,Torrejón Airport,Spain,Europe/Madrid
TOL,Toledo Express Airport,United States,America/New_York
TOM,Timbuktu Airport,Mali,Africa/Bamako
TOO,San Vito De Java Airport,Costa Rica,America/Costa_Rica
TOP,Philip Billard Municipal Airport,United States,America/Chicago
TOQ,Barriles Airport,Chile,
TOS,"Tromsø Airport,",Norway,Europe/Oslo
TOT,Totness Airport,Suriname,America/Paramaribo
TOU,Touho Airport,New Caledonia,Pacific/Noumea
TOW,Toledo Airport,Brazil,America/Sao_Paulo
TOY,Toyama Airport,Japan,Asia/Tokyo
TPA,Tampa International Airport,United States,America/New_York
TPC,Tarapoa Airport,Ecuador,America/Guayaquil
TPE,Taiwan Taoyuan International Airport,Taiwan,Asia/Taipei
TPF,Peter O Knight Airport,United States,
TPH,Tonopah Airport,United States,
TPJ,Taplejung Airport,Nepal,Asia/Katmandu
TPL,Draughon Miller Central Texas Regional Airport,United States,America/Chicago
TPN,Tiputini Airport,Ecuador,America/Guayaquil
TPP,Cadete FAP Guillermo Del Castillo Paredes Airport,Peru,America/Lima
TPQ,Amado Nervo National Airport,Mexico,America/Mazatlan
TPS,Vincenzo Florio Airport Trapani-Birgi,Italy,Europe/Rome
TQD,Al Taqaddum Air Base,Iraq,Asia/Baghdad
TQL,Tarko-Sale Airport,Russia,
TQQ,Maranggo Airport,Indonesia,Asia/Makassar
TQS,Tres Esquinas Air Base,Colombia,
TRA,Tarama Airport,Japan,Asia/Tokyo
TRC,Francisco Sarabia International Airport,Mexico,America/Mexico_City
TRD,Trondheim Airport Værnes,Norway,Europe/Oslo
TRE,Tiree Airport,United Kingdom,Europe/London
TRF,"Sandefjord Airport, Torp",Norway,Europe/Oslo
TRG,Tauranga Airport,New Zealand,Pacific/Auckland
TRI,Tri-Cities Regional TN/VA Airport,United States,America/New_York
TRK,Juwata Airport,Indonesia,Asia/Makassar
TRM,Jacqueline Cochran Regional Airport,United States,America/Los_Angeles
TRN,Turin Airport,Italy,Europe/Rome
TRO,Taree Airport,Australia,Australia/Sydney
TRQ,Tarauacá Airport,Brazil,America/Rio_Branco
TRR,China Bay Airport,Sri Lanka,Asia/Colombo
TRS,Trieste–Friuli Venezia Giulia Airport,Italy,Europe/Rome
TRU,Capitan FAP Carlos Martinez De Pinillos International Airport,Peru,America/Lima
TRV,Trivandrum International Airport,India,Asia/Calcutta
TRW,Bonriki International Airport,Kiribati,Pacific/Tarawa
TRZ,Tiruchirapally Civil Airport Airport,India,Asia/Calcutta
TSA,Taipei Songshan Airport,Taiwan,Asia/Taipei
TSB,Tsumeb Airport,Namibia,Africa/Windhoek
TSE,Astana International Airport,Kazakhstan,Asia/Qyzylorda
TSF,Treviso-Sant'Angelo Airport,Italy,Europe/Rome
TSH,Tshikapa Airport,Congo (Kinshasa),Africa/Lubumbashi
TSJ,Tsushima Airport,Japan,Asia/Tokyo
TSL,Tamuin Airport,Mexico,America/Mexico_City
TSM,Taos Regional Airport,United States,
TSN,Tianjin Binhai International Airport,China,Asia/Shanghai
TSR,Timişoara Traian Vuia Airport,Romania,Europe/Bucharest
TST,Trang Airport,Thailand,Asia/Bangkok
TSU,Tabiteuea South Airport,Kiribati,Pacific/Tarawa
TSV,Townsville Airport,Australia,Australia/Brisbane
TSX,Tanjung Santan Airport,Indonesia,Asia/Makassar
TSY,Cibeureum Airport,Indonesia,Asia/Jakarta
TTA,Tan Tan Airport,Morocco,Africa/Casablanca
TTB,Tortolì Airport,Italy,Europe/Rome
TTC,Las Breas Airport,Chile,
TTD,Portland Troutdale Airport,United States,America/Los_Angeles
TTE,Sultan Khairun Babullah Airport,Indonesia,Asia/Jayapura
TTG,General Enrique Mosconi Airport,Argentina,America/Argentina/Salta
TTH,Thumrait Air Base,Oman,Asia/Muscat
TTI,Tetiaroa Airport,French Polynesia,Pacific/Tahiti
TTJ,Tottori Airport,Japan,Asia/Tokyo
TTL,Turtle Island Seaplane Base,Fiji,
TTN,Trenton Mercer Airport,United States,America/New_York
TTQ,Aerotortuguero Airport,Costa Rica,America/Costa_Rica
